STOP_FRISK_DATE,STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME,STOP_FRISK_TIME_DAYMIN,MONTH2,DAY2,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,SUSPECTED_CRIME_DESCRIPTION_EDITED,STOP_DURATION_MINUTES,SUSPECT_ARREST_OFFENSE,SUSPECT_ARREST_OFFENSE_EDITED,OFFICER_IN_UNIFORM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_BORO_NAME
07-01-2019,7,00:35:00,35,January,Monday,POM,1,ASSAULT,ASSAULT,7,(null),NONE,Y,N,"NERVOUS, SCARED",28,BLACK,5.6,300,BLACK LEATHER JACKET,MANHATTAN
21-01-2019,21,20:18:00,1218,January,Monday,POF,1,ROBBERY,ROBBERY,10,ROBBERY,ROBBERY,Y,N,NERVOUS,25,BLACK HISPANIC,5.11,305,(null),BRONX
28-01-2019,28,02:49:00,169,January,Monday,SGT,1,ROBBERY,ROBBERY,7,(null),NONE,N,N,CALM & COOPERATIVE,45,BLACK HISPANIC,5.8,180,BLACK COAT.,BRONX
28-01-2019,28,02:49:00,169,January,Monday,SGT,1,ROBBERY,ROBBERY,7,(null),NONE,N,N,CALM & COOPERATIVE,38,BLACK HISPANIC,5.6,180,BLACK COAT.,BRONX
14-01-2019,14,16:49:00,1009,January,Monday,POM,0,CPW,CPW,1,CPW,CPW,N,Y,NERVOUS,21,BLACK HISPANIC,6.1,220,(null),BRONX
28-01-2019,28,12:40:00,760,January,Monday,POF,1,ASSAULT,ASSAULT,20,(null),NONE,Y,N,NORMAL,21,WHITE HISPANIC,5.7,150,(null),BRONX
28-01-2019,28,17:45:00,1065,January,Monday,POM,1,CPW,CPW,5,(null),NONE,N,N,CALM,34,BLACK,6.1,150,N/A,BROOKLYN
28-01-2019,28,00:10:00,10,January,Monday,POM,1,CPW,CPW,4,(null),NONE,Y,N,NORMAL,17,BLACK,5.6,130,(null),BROOKLYN
28-01-2019,28,06:30:00,390,January,Monday,POM,0,ASSAULT,ASSAULT,3,(null),NONE,Y,N,INTOXICATED,30,BLACK,5.8,150,(null),BROOKLYN
07-01-2019,7,16:55:00,1015,January,Monday,POM,1,ROBBERY,ROBBERY,2,(null),NONE,N,N,ANGRY,40,BLACK,6,200,(null),BROOKLYN
14-01-2019,14,13:44:00,824,January,Monday,POM,1,ASSAULT,ASSAULT,3,(null),NONE,Y,N,UPSET DUE TO DISPUTE WITH GIRLFRIEND,24,WHITE HISPANIC,5.6,150,(null),BROOKLYN
07-01-2019,7,20:14:00,1214,January,Monday,POM,1,CPW,CPW,10,(null),NONE,Y,N,COOPERATIVE,54,WHITE HISPANIC,5.7,165,UNKNOWN,BROOKLYN
28-01-2019,28,01:34:00,94,January,Monday,POM,1,ASSAULT,ASSAULT,5,(null),NONE,Y,N,FLEEING,21,BLACK,5.7,155,(null),BROOKLYN
28-01-2019,28,20:31:00,1231,January,Monday,POF,55,CPW,CPW,20,(null),NONE,Y,N,ANNOYED/UPSET,44,BLACK HISPANIC,5.6,140,BLACK HAT,BROOKLYN
28-01-2019,28,14:48:00,888,January,Monday,POM,1,CPW,CPW,15,(null),NONE,Y,N,NERVOUS,29,BLACK,5.8,140,(null),QUEENS
14-01-2019,14,23:31:00,1411,January,Monday,POM,1,ROBBERY,ROBBERY,7,(null),NONE,Y,N,COMPLIANT,31,WHITE,6,170,(null),QUEENS
07-01-2019,7,03:55:00,235,January,Monday,POM,1,PETIT LARCENY,PETIT LARCENY,15,PETIT LARCENY,PETIT LARCENY,Y,N,NERVOUS,35,BLACK,5.8,200,(null),QUEENS
07-01-2019,7,00:06:00,6,January,Monday,POM,1,BURGLARY,BURGLARY,15,(null),NONE,Y,N,HAPPY,44,BLACK HISPANIC,5.5,200,(null),QUEENS
28-01-2019,28,17:02:00,1022,January,Monday,POM,1,CPW,CPW,2,(null),NONE,Y,N,CALM AND COOPERATIVE,20,BLACK HISPANIC,5.4,150,DREAD LOCKS,QUEENS
07-01-2019,7,18:00:00,1080,January,Monday,POM,1,CPW,CPW,1,CPW,CPW,Y,Y,#N/A,16,BLACK,6,150,(null),STATEN ISLAND
07-01-2019,7,02:51:00,171,January,Monday,POM,10,BURGLARY,BURGLARY,8,(null),NONE,Y,N,CONCERNED,40,BLACK,5.1,170,"LEATHER WAIST LENGTH COAT/ HOODED SWEATSHIRT, SWEATPANTS",QUEENS
15-01-2019,15,18:50:00,1130,January,Tuesday,POM,1,ASSAULT,ASSAULT,5,ASSAULT,ASSAULT,N,N,#N/A,21,BLACK,5.9,150,(null),MANHATTAN
29-01-2019,29,04:12:00,252,January,Tuesday,POM,1,BURGLARY,BURGLARY,2,CRIMINAL POSSESSION OF CONTROLLE,OTHER,N,N,NERVOUS,49,BLACK,6,230,NONE,MANHATTAN
29-01-2019,29,15:55:00,955,January,Tuesday,POM,1,ROBBERY,ROBBERY,6,ROBBERY,ROBBERY,Y,N,NERVOUS,14,BLACK,5.6,110,(null),MANHATTAN
01-01-2019,1,16:00:00,960,January,Tuesday,POM,1,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,76,(null),NONE,N,N,COOPERATIVE,45,WHITE HISPANIC,5.1,200,UNKNOWN,MANHATTAN
01-01-2019,1,16:00:00,960,January,Tuesday,POM,1,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,76,(null),NONE,N,N,COOPERATIVE,41,WHITE HISPANIC,5.4,150,UNKNOWN,MANHATTAN
15-01-2019,15,13:40:00,820,January,Tuesday,POM,1,MENACING,MENACING,15,(null),NONE,Y,N,COOPERATIVE,30,BLACK,5.8,180,"MALE BLACK, TAN PANTS, DARK COLORED JACKET , BRAIDS, MALE 5'8"".",MANHATTAN
08-01-2019,8,13:00:00,780,January,Tuesday,POF,0,CPW,CPW,5,(null),NONE,Y,N,IRATE,24,BLACK HISPANIC,5.5,130,(null),MANHATTAN
08-01-2019,8,20:55:00,1255,January,Tuesday,POM,1,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,30,(null),NONE,Y,N,NON COMPLAINT,16,WHITE HISPANIC,5.5,110,(null),MANHATTAN
15-01-2019,15,20:44:00,1244,January,Tuesday,POM,1,CPW,CPW,10,(null),NONE,Y,N,CALM,46,BLACK,5.1,250,"BLACK JACKET, BLACK HAT, WHITE SNEAKERS",MANHATTAN
29-01-2019,29,21:53:00,1313,January,Tuesday,POM,1,ROBBERY,ROBBERY,1,ROBBERY,ROBBERY,N,N,NERVOUS,39,BLACK,5.9,170,(null),MANHATTAN
01-01-2019,1,00:37:00,37,January,Tuesday,POM,2,CPW,CPW,3,CPW,CPW,Y,Y,APPARENTLY NORMAL,25,BLACK,5.5,150,(null),MANHATTAN
29-01-2019,29,18:06:00,1086,January,Tuesday,POM,1,ROBBERY,ROBBERY,5,(null),NONE,Y,N,COOPERATIVE,17,WHITE HISPANIC,5.7,160,BLACK SWEATSHIRT,MANHATTAN
01-01-2019,1,14:51:00,891,January,Tuesday,POM,1,CPW,CPW,3,(null),NONE,Y,N,CALM,45,BLACK,5.1,200,(null),MANHATTAN
01-01-2019,1,02:50:00,170,January,Tuesday,POM,0,CPW,CPW,3,(null),NONE,Y,N,"NON COMBATIVE, UNDERSTANDING",24,BLACK,5.8,180,(null),MANHATTAN
22-01-2019,22,14:40:00,880,January,Tuesday,POM,0,MENACING,MENACING,4,(null),NONE,Y,N,CALM,33,BLACK,6.2,220,GREEN JACKET DARK BLUE PANTS,MANHATTAN
22-01-2019,22,20:20:00,1220,January,Tuesday,POM,1,CRIMINAL TRESPASS,CRIMINAL TRESPASS,5,CRIMINAL TRESPASS,CRIMINAL TRESPASS,Y,N,#N/A,31,BLACK,5.6,140,(null),MANHATTAN
22-01-2019,22,20:20:00,1220,January,Tuesday,POM,2,CRIMINAL TRESPASS,CRIMINAL TRESPASS,5,CRIMINAL TRESPASS,CRIMINAL TRESPASS,Y,N,UPSET,28,BLACK,5.8,150,(null),MANHATTAN
01-01-2019,1,07:20:00,440,January,Tuesday,POM,1,ASSAULT,ASSAULT,20,(null),NONE,Y,N,COOPERATIVE,26,WHITE HISPANIC,5.9,170,(null),MANHATTAN
29-01-2019,29,10:55:00,655,January,Tuesday,POM,1,CRIMINAL TRESPASS,CRIMINAL TRESPASS,5,CRIMINAL TRESPASS,CRIMINAL TRESPASS,Y,N,APPARENTLY NORMAL,33,WHITE HISPANIC,6,180,N/A,MANHATTAN
15-01-2019,15,15:45:00,945,January,Tuesday,POM,1,ASSAULT,ASSAULT,21,(null),NONE,Y,N,NERVOUS,17,WHITE HISPANIC,6.1,150,(null),BRONX
15-01-2019,15,16:55:00,1015,January,Tuesday,POM,1,ROBBERY,ROBBERY,4,ROBBERY,ROBBERY,N,N,NERVOUS / FIDGETING,16,BLACK,6.2,185,N/A,BRONX
15-01-2019,15,16:56:00,1016,January,Tuesday,POM,1,ROBBERY,ROBBERY,5,ROBBERY,ROBBERY,N,N,"NERVOUS,FIDGETY, RUNNING FROM LOCATION",15,BLACK,5.6,130,(null),BRONX
29-01-2019,29,14:00:00,840,January,Tuesday,POM,1,CPW,CPW,3,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,Y,N,UPSET,31,BLACK,5.9,170,(null),BRONX
01-01-2019,1,17:30:00,1050,January,Tuesday,POM,5,CPW,CPW,2,CRIMINAL POSSESSION OF MARIHUANA,CRIMINAL POSSESSION OF MARIHUANA,Y,N,#N/A,20,BLACK HISPANIC,5.1,160,(null),BRONX
08-01-2019,8,19:00:00,1140,January,Tuesday,POM,1,CPW,CPW,4,(null),NONE,Y,N,NON COMPLIANT / ERRATIC UPON INTERACTION WITH POLICE,18,WHITE HISPANIC,5.11,160,(null),BRONX
08-01-2019,8,19:00:00,1140,January,Tuesday,POM,1,CPW,CPW,4,(null),NONE,Y,N,COOPERATIVE,17,BLACK HISPANIC,6.1,180,(null),BRONX
22-01-2019,22,01:10:00,70,January,Tuesday,POM,0,CRIMINAL POSSESSION OF MARIHUANA,CRIMINAL POSSESSION OF MARIHUANA,30,(null),NONE,Y,N,#N/A,26,BLACK,6.1,185,(null),BRONX
08-01-2019,8,18:18:00,1098,January,Tuesday,POM,0,ROBBERY,ROBBERY,5,ROBBERY,ROBBERY,Y,Y,AGITATED,19,BLACK,5.1,180,(null),BRONX
