symbol,date,mktcap,last,d1-open,d1-high,d1-low,d1-close,d1-change,d2-open,d2-high,d2-low,d2-close,d2-change,d3-open,d3-high,d3-low,d3-close,d3-change,Upopen,Uphigh,Uplow,Upclose,Upchange,Upday
CRC,02-07-2019,496900000,10.14,20.93000031,20.93000031,18.70000076,18.70000076,-11.92000008,18.70999908,18.79999924,16.86000061,17.61000061,-5.829999924,17.23999977,17.96999931,16.5,17.80999947,1.139999986,18.57999992,19.48999977,18.15999985,18.25,2.470000029,1
ADNT,08-01-2019,2260000000,24.14,23.87000084,23.87000084,21.29999924,21.30999947,-10.27000046,21.01000023,21.11000061,19.29000092,19.96999931,-6.289999962,19.18000031,19.54999924,18.87999916,19.29999924,-3.359999895,20.69000053,25.79000092,20.09000015,25.45000076,31.87000084,1
TLRY,03-07-2019,4850000000,42.57,75.79000092,76.12000275,69.61000061,69.72000122,-8.090000153,64.90000153,70,64.44999695,70,0.400000006,69.30000305,70.05000305,67.56999969,70,0,70,73.75,69.11000061,72.15000153,3.069999933,1
BYND,05-08-2019,9850000000,164.37,83.61000061,85.37999725,70.77999878,72.25,-8.739999771,70.5,73.19999695,67.09999847,68.26999664,-5.510000229,69.08999634,69.33000183,61.59999847,66.22000122,-3,65.45999908,71.95999908,63.36000061,69.5,4.949999809,1
TCMD,03-12-2019,955240000,50.36,70.36000061,71.70999908,65.01999664,66.13999939,-9.159999847,65.73000336,66.62999725,61.41999817,62.5,-5.5,61.72000122,63.22999954,61.38000107,62.93000031,0.689999998,52.47000122,52.47000122,48.58000183,51.22999954,3.910000086,101
LKCO,01-11-2019,1770000000,9,73,73,42.65000153,44,-21.61000061,42,42,23,24,-45.45000076,24,24,11.52000046,12.19999981,-49.16999817,6.21999979,6.21999979,6.150000095,6.150000095,-2.839999914,101
ENS,02-07-2019,2460000000,57.85,79.98999786,80.5,69.38999939,79.04000092,-10.85000038,78.11000061,78.11000061,73.40000153,74.68000031,-5.519999981,74.51999664,74.51999664,69.44999695,70.55000305,-5.53000021,66.06999969,66.38999939,65.22000122,65.61000061,-1.090000033,101
PVG,01-09-2019,2390000000,12.93,8.760000229,8.850000381,7.659999847,7.829999924,-10.72000027,7.800000191,7.800000191,7.130000114,7.300000191,-6.769999981,7.369999886,7.460000038,6.980000019,7,-4.110000134,7.699999809,7.769999981,7.409999847,7.550000191,-1.179999948,11
CTSH,05-02-2019,34500000000,62.46,72.19000244,72.97000122,65,66.61000061,-7.71999979,60.09000015,61.5,57.70000076,59.25,-11.05000019,58.56000137,60.18999863,58.02000046,59.59999847,0.589999974,62.13999939,62.65999985,61.88000107,62.06999969,0.319999993,15
LMNX,02-05-2019,950040000,21.09,24.79000092,25.95999908,24.05999947,25.54000092,-9.270000458,24.97999954,25.40999985,23.22999954,23.63999939,-7.440000057,23.45000076,24.04999924,23.20999908,23.82999992,0.800000012,24.79999924,24.95999908,24.35000038,24.86000061,0.970000029,2
NMRK,05-09-2019,1650000000,9.25,8.06000042,8.239999771,7.349999905,7.590000153,-7.099999905,7.230000019,7.78000021,7.019999981,7.760000229,2.24000001,7.559999943,7.820000172,7.300000191,7.769999981,0.129999995,8.050000191,8.300000191,7.949999809,8.270000458,3.380000114,2
BZUN,03-07-2019,2700000000,43.92,38.38000107,38.38000107,34.72000122,34.93999863,-10.15999985,33.02999878,35.56999969,32.45000076,34.40999985,-1.519999981,34.72999954,35.31000137,34.54999924,35.02999878,1.799999952,35,36.25,34.79000092,35.93000031,1.99000001,2
TTM,02-07-2019,2790000000,8.57,11.64999962,11.64999962,11.14999962,11.39999962,-9.449999809,10.64000034,10.64000034,10.28999996,10.51000023,-7.809999943,10.69999981,10.75,10.57999992,10.60999966,0.949999988,10.93000031,11.06999969,10.93000031,11,1.570000052,2
JMIA,05-08-2019,2970000000,12.36,34.93000031,35.72999954,33.11000061,33.11000061,-7.510000229,32.09999847,32.90999985,25,26.88999939,-18.79000092,24.15999985,26.75,18.12999916,24.5,-8.890000343,28.20999908,29.25,25.06999969,25.60000038,-3.75999999,2
ADNT,03-06-2019,2260000000,24.14,18.45000076,18.45000076,16.62000084,16.68000031,-9.68999958,16.65999985,16.78000069,15.40999985,15.46000004,-7.309999943,15.43999958,15.76000023,15.07999992,15.15999985,-1.940000057,16.35000038,16.55999947,15.97000027,16.30999947,1.299999952,20
LTRPB,03-06-2019,900920000,12,14.94999981,14.94999981,14.94999981,14.94999981,-10.75,13.89999962,13.89999962,13.89999962,13.89999962,-7.019999981,12.92000008,12.92000008,12.92000008,12.92000008,-7.050000191,14.71000004,14.71000004,14.71000004,14.71000004,2.50999999,3
TRHC,05-09-2019,1400000000,63.48,53.24000168,53.24000168,47.77999878,47.97999954,-7.730000019,47.75999832,48.43999863,43.31000137,46.79000092,-2.480000019,45.09000015,46.72000122,43.81999969,44.24000168,-5.449999809,48.04999924,49.95999908,47.52000046,48.04999924,0.730000019,3
EB,03-08-2019,1410000000,17.05,24.04000092,25.44000053,22.36000061,24.45999908,-24.54999924,24.81999969,25.5,22.53009987,22.88999939,-6.420000076,22.79999924,23.42499924,22.54999924,22.88999939,0,23,24.12999916,22.81999969,23.97999954,4.260000229,33
VNDA,02-06-2019,782590000,14.69,21.39999962,21.97999954,19.79999924,20.05999947,-19.95000076,19.85000038,19.85000038,18.62999916,18.98999977,-5.329999924,18.79999924,19.04000092,18.20999908,18.95000076,-0.209999993,19.59000015,20.46999931,18.68000031,20.12000084,9.229999542,4
UBNT,05-10-2019,8040000000,113.95,147.5,151.3999939,138.1000061,139.3899994,-10.89000034,136.25,136.5299988,128.4600067,130.9499969,-6.050000191,130.8600006,132.0800018,128.5500031,128.8300018,-1.620000005,136.6300049,137.7899933,134.5500031,135.5099945,-0.49000001,49
ALRM,05-10-2019,2430000000,50.29,63,65.87999725,62.04999924,63.95000076,-8.210000038,61.93999863,62,58.25,58.91999817,-7.869999886,59.40000153,59.97000122,58.22999954,58.86000061,-0.100000001,60.38000107,62.02000046,60.38000107,60.65000153,1.179999948,5
HUYA,03-06-2019,4450000000,20.39,29.26000023,29.44000053,26.10000038,27.31999969,-8.81000042,26.77000046,26.89999962,25.10000038,25.21999931,-7.690000057,23.72999954,24.47999954,22.70000076,24.13999939,-4.28000021,24.75,27.12000084,24.59000015,26.70999908,9.149999619,5
UPWK,05-09-2019,1680000000,15.15,19.37999916,19.37999916,16.72999954,16.86000061,-17.68000031,16.57999992,16.93000031,15.61999989,16.75,-0.649999976,16.30999947,16.81999969,16.14999962,16.51000023,-1.429999948,17.05999947,17.75,16.90999985,17.01000023,4.739999771,61
