symbol,date,mktcap,last,d1-open,d1-high,d1-low,d1-close,d1-change,d2-open,d2-high,d2-low,d2-close,d2-change,d3-open,d3-high,d3-low,d3-close,d3-change,Upopen,Uphigh,Uplow,Upclose,Upchange,Upday
EIGR,08-04-2014,249000000,10.19,192.1499939,192.1499939,170.25,175.8000031,-7.28000021,174.4499969,181.5,162.3000031,167.8500061,-4.519999981,168.1499939,170.5500031,156.1499939,158.1000061,-5.809999943,156.6000061,177,144.8999939,172.5,9.109999657,1
CYOU,07-06-2015,343470000,6.12,28.37999916,28.37999916,24.29999924,24.36000061,-16.12000084,23.79999924,23.79999924,20.21999931,21.89999962,-10.10000038,20.75,22.45999908,20.14999962,22,0.460000008,25,25,23.27000046,23.37999916,6.269999981,1
SOHU,07-06-2015,379740000,9.68,56.93999863,56.93999863,50.50999832,50.54000092,-13.68000031,48.86999893,49,44.06999969,47.09999847,-6.809999943,44.02999878,46.75999832,43.56000137,44.18000031,-6.199999809,48.50999832,50.36000061,48,48.08000183,8.829999924,1
TGH,05-08-2018,415340000,7.23,18.60000038,19.04999924,17,17.20000076,-7.53000021,17.54999924,17.54999924,15.44999981,16.04999924,-6.690000057,16.04999924,16.39999962,15.89999962,16.35000038,1.870000005,16.29999924,17.14999962,16.29999924,16.75,2.450000048,1
PBYI,7/24/2014,430910000,11.16,226,226.6199951,201.5099945,212.9199982,-8.789999962,208.3099976,209.6499939,189.3000031,200.6799927,-5.75,198,202.9499969,194.0099945,198.0099945,-1.330000043,197.9400024,223.5,196,222,12.11999989,1
CRC,02-07-2019,496900000,10.14,20.93000031,20.93000031,18.70000076,18.70000076,-11.92000008,18.70999908,18.79999924,16.86000061,17.61000061,-5.829999924,17.23999977,17.96999931,16.5,17.80999947,1.139999986,18.57999992,19.48999977,18.15999985,18.25,2.470000029,1
UIHC,2/18/2015,507970000,11.75,27.63999939,27.63999939,24.5,25.45999908,-7.889999866,26.43000031,26.5,21.86000061,22.44000053,-11.85999966,22.27000046,23.07999992,21.65999985,22.96999931,2.359999895,23,24.48500061,23,24.13999939,5.090000153,1
UCTT,10/26/2017,509230000,12.88,28.63999939,29.04000092,24.88999939,25.81999969,-21.02000046,26.22999954,26.32999992,23.93000031,24.28000069,-5.960000038,24.02000046,24.60000038,23.19000053,24.27000046,-0.039999999,24.30999947,25.71999931,24.11000061,25.52000046,5.150000095,1
CPLG,8/14/2018,635810000,10.93,25.10000038,25.20999908,22.92000008,22.94000053,-9.039999962,22.89999962,22.95000076,21.19000053,21.57999992,-5.929999828,21.77000046,22.21999931,21.77000046,22.03000069,2.089999914,22.01000023,22.68000031,22.01000023,22.47999954,2.039999962,1
MGNX,11/19/2013,700640000,14.33,26,26,23,23.20999908,-11.10999966,23.29999924,23.86000061,21.5,22.20999908,-4.309999943,22.29000092,22.40999985,21.54999924,21.81999969,-1.75999999,21.87000084,24.14999962,21.73999977,23.79000092,9.029999733,1
ATRA,12/20/2018,707820000,13.31,38.18000031,38.18000031,33.25999832,33.52000046,-12.36999989,33.77999878,33.81999969,30.88999939,30.89999962,-7.820000172,30.61000061,31.37000084,29.73999977,30.90999985,0.029999999,31.22999954,34.25999832,30.62999916,34.25,10.81000042,1
WVE,12/20/2018,731890000,21.35,43.93999863,44.70000076,36.79000092,37.70999908,-14.77999973,37.72000122,38.47999954,34.79000092,37.09999847,-1.620000005,36.74000168,37.52999878,34.52999878,37.34999847,0.670000017,37.54999924,42.45000076,34.38000107,42.18999863,12.96000004,1
RYTM,6/18/2018,736210000,21.33,32.43000031,32.75,28.44000053,28.79999924,-11.65999985,27.5,27.94000053,25.28000069,26.17000008,-9.130000114,25.71999931,26.60000038,24.84000015,26.42000008,0.959999979,28.45999908,34.5,28.39999962,32.90999985,24.55999947,1
SEMG,1/15/2016,779550000,9.8,21.22999954,21.97999954,18.47999954,19.75,-13.97999954,20.12999916,20.12999916,16.87000084,16.93000031,-14.27999973,16.71999931,16.94000053,15.14000034,15.48999977,-8.510000229,15.67000008,18.70000076,15.47999954,18.68000031,20.59000015,1
ALDR,9/25/2015,784520000,9.38,37.77000046,38.13000107,33,33.86000061,-9.25,33.58000183,33.97000122,29.23999977,31.10000038,-8.149999619,30.69000053,31.07999992,28.67000008,29.40999985,-5.429999828,29.84000015,33.22000122,29.70999908,32.75999832,11.39000034,1
VNET,07-06-2015,796860000,7.07,19.95999908,20.02000046,17.75,18.23999977,-10.27999973,17.89999962,17.95999908,15.18999958,16.38999939,-10.14000034,15.48999977,16.64999962,15.02999973,16.39999962,0.059999999,19.04999924,19.37999916,18.5,18.73999977,14.27000046,1
WLL,11/28/2014,853190000,9.345,47.52000046,47.86000061,41.54999924,41.77000046,-21.39999962,40.31000137,40.77999878,37.95999908,40.11000061,-3.970000029,39.40999985,40.45000076,38.25,39.27999878,-2.069999933,39.43999863,42.34999847,39.43999863,40.65999985,3.50999999,1
SBLK,2/15/2012,857340000,9.29,17.25,17.25,15.14999962,15.14999962,-7.340000153,14.25,14.99699974,13.65299988,14.99699974,-1.00999999,14.69999981,14.85000038,14.40299988,14.47500038,-3.480000019,15,15.89999962,14.85000038,15.30000019,5.699999809,1
